Beds,Baths,House Size (sqft),Lot Size (ac),Type,Price,Postal
2.0,1.0,1584.0,0.7240000000000001,Family,99900,E5
0.0,0.0,0.0,68.0,Empty Land,35000,E1
0.0,0.0,0.0,1.0,Empty Land,25000,E5
3.0,1.0,1050.0,0.7240000000000001,Family,149900,E1
3.0,3.0,2260.0,0.7240000000000001,Family,559000,E3
5.0,2.0,1872.0,0.7240000000000001,Family,189900,E1
3.0,2.0,1824.0,0.7240000000000001,Family,214900,E3
4.0,2.0,1584.0,1.17,Residential,329900,E3
4.0,2.0,1550.0,6.84,Residential,399900,E5
3.0,2.0,1584.0,0.7240000000000001,Family,179900,E3
3.0,3.0,1785.0,0.7240000000000001,Family,119900,E1
2.0,2.0,4978.0,0.311,Residential,225000,E1
4.0,2.0,1584.0,0.7240000000000001,Residential,102000,E5
3.0,1.0,800.0,0.7240000000000001,Family,169900,E5
4.0,1.0,1584.0,0.7240000000000001,Residential,119000,E3
2.0,2.0,1584.0,0.7240000000000001,Residential,289900,E3
3.0,1.0,1584.0,0.7240000000000001,Family,129900,E7
0.0,0.0,0.0,10.0,Empty Land,350000,E5
0.0,0.0,0.0,2.2199999999999998,Empty Land,70000,E5
4.0,2.0,1584.0,0.7240000000000001,Family,125000,E5
0.0,0.0,0.0,18.0,Empty Land,139000,E5
0.0,0.0,0.0,2.2199999999999998,Empty Land,12000,E4
4.0,3.0,4362.0,0.7240000000000001,Residential,699000,E5
3.0,2.0,1584.0,0.7240000000000001,Family,83900,E7
3.0,1.0,1000.0,0.7240000000000001,Family,89900,E4
4.0,2.0,2800.0,0.7240000000000001,Family,239900,E2
1.0,1.0,854.0,0.7240000000000001,Family,259900,E2
3.0,1.0,1400.0,0.7240000000000001,Family,209900,E2
3.0,2.0,1584.0,1.0,Residential,149000,E5
4.0,3.0,1202.0,1.41,Residential,459900,E3
4.0,2.0,966.0,0.7240000000000001,Family,196900,E1
3.0,1.0,1008.0,1.148,Residential,135900,E4
3.0,2.0,572.0,0.7240000000000001,Family,115000,E4
2.0,2.0,1092.0,0.7240000000000001,Family,99000,E4
3.0,1.0,2844.0,0.7240000000000001,Residential,169500,E3
3.0,1.0,1650.0,0.7240000000000001,Residential,109000,E3
0.0,0.0,0.0,2.44,Empty Land,13400,E9
2.0,1.0,1200.0,0.7240000000000001,Residential,119900,E4
