Address,Beds,Baths,House Size,Lot Size,Type,Price
"24 Union Street, Sackville, NB, Sackville, New Brunswick, E4L 4Mw",6,2,2200,0.3,"
            Residential
        ",139900
"9069 Route 3, Saint Stephen, New Brunswick, E3L 4W6",4,2,,,"
            Residential
        ",199500
"Rte 117 Hardwicke Lot 01-4, Miramichi, New Brunswick, E9A 1K1",,,,2.056,"
            Residential
        ",49000
"614 Royal Oaks Boulevard, Moncton, New Brunswick, E1H 3S7",2,2,1232,0.13,"
            Residential
        ",264900
"Rrichardson Road, Deer Island, New Brunswick",,,,19.5,"
            Lots And Land
        ",98000
"3888 Rte 620 Tay Creek, Greater Estey's Bridge, New Brunswick",2,2,1800,5.0,"
            Residential
        ",183500
"100 Winterport Way, Fredericton, New Brunswick",6,4,2400,1.9,"
            Residential
        ",499900
"2511 Route 774, Campobello Island, New Brunswick",5,1,2100,0.31,"
            Residential
        ",143900
"98-17 Ross Point Road, Greater Saint Andrews, New Brunswick",,,,,"
            Lots And Land
        ",50000
"- Salt Marsh Road, Saint Andrews, New Brunswick",,,,,"
            Lots And Land
        ",89000
"415 Shediac Rd, Moncton, New Brunswick, E1A 2T2",,,,,"
            Residential
        ",165000
"4973 Route 112, Greater Salisbury, New Brunswick",,,,1.6,"
            Lots And Land
        ",14900
"98-17 Ross Point Road, Greater Saint Andrews, New Brunswick",,,,,"
            Lots And Land
        ",50000
"- Salt Marsh Road, Saint Andrews, New Brunswick",,,,,"
            Lots And Land
        ",89000
"415 Shediac Rd, Moncton, New Brunswick, E1A 2T2",,,,,"
            Residential
        ",165000
"4973 Route 112, Greater Salisbury, New Brunswick",,,,1.6,"
            Lots And Land
        ",14900
"9 Bromfield, Moncton, New Brunswick, E1G0N7",,,,1.2,"
            Lots And Land
        ",189900
"25 Gilman Lane, St. Stephen, New Brunswick",5,2,1450,,"
            Residential
        ",415000
"161 Nowlanville Road, Miramichi, New Brunswick, E1N 4W3",4,2,1680,17.4,"
            Residential
        ",209000
"Lot, Queens Road, Sackville, NB, Sackville, New Brunswick, E4L 2B3",,,,0.617,"
            Lots And Land
        ",59000
"15-3 Winterport Way, Fredericton, New Brunswick",,,,1.0,"
            Lots And Land
        ",35000
"62 Patricia, Riverview, New Brunswick, E1B5C8",,2,3221,,"
            Residential
        ",359900
"- Oak Hill Road, Saint Stephen, New Brunswick, E5A 2E9",,,,,"
            Lots And Land
        ",39900
"64-66 Horsman Street, Salisbury, New Brunswick, E4J 2H4",7,2,3256,,"
            MultiFamily
        ",149900
"8 Ocean breeze drive, Grand Barachois, New Brunswick, E4P 7X2",3,2,3000,1.4,"
            Residential
        ",439900
"12 Lisgar Street, St. Stephen, New Brunswick",4,2,,,"
            Residential
        ",199900
"- Leavitt Head Road, Greater St. George, New Brunswick",,,,,"
            Lots And Land
        ",13900
"62 Mia Circle, Fredericton, New Brunswick, E3A 7N5",3,2,2009,,"
            Residential
        ",259900
"63 Jack Road, Pennfield, New Brunswick",3,2,4028,,"
            Residential
        ",459000
"20 Route 960, Cape Tormentine, NB, Cape Tormentine, New Brunswick",3,1,1152,2.036,"
            Residential
        ",229900
"- Route 750, Dennis-Weston, New Brunswick",,,,,"
            Lots And Land
        ",35000
